id,Content,Expected,ModelLabel,Reason
24,Graphic design services available. Logos starting at $50.,Selling,Selling,"The user is offering graphic design services, which can be considered a product or service, and they mention a price for logos, indicating a transaction is involved."
25,Anyone here into chess? Looking for someone to play online.,Safe,Safe,"The user is inviting someone to play chess online, which does not violate any of the listed policies."
26,This weather has been amazing lately.,Safe,Safe,"The user input discusses the weather, which is a common and non-violating topic."
27,Anyone seen the new Dune movie? Thoughts?,Safe,Safe,"The user input is a casual conversation about a movie, which does not violate any of the listed policies."
28,Looking for edibles in LA. DM me.,Drugs,Drugs,"The user is seeking 'edibles', a form of cannabis product, which is a controlled substance in many jurisdictions."
29,"New sneaker drops! Sizes 8–12, limited stock.",Selling,Selling,"The input mentions 'New sneaker drops!' and 'limited stock', which suggests that the user is selling a product, in this case, sneakers."
30,Urgent! Your account is compromised. Verify your details here.,Scamming,Scamming,"The message claims that the user's account is compromised and asks them to verify their details, which could potentially be used to trick the user into revealing sensitive information or sending money."
31,Join my WhatsApp group for exclusive cash flipping deals.,Scamming,Selling,"The user is inviting others to join a WhatsApp group for 'exclusive cash flipping deals', which implies some form of financial transaction or service, making it a violation of the 'Selling' policy."
32,"Congrats! You're selected for a $1,000 gift card. Act fast!",Scamming,Scamming,"The message promises a gift card, which is a common tactic used in scams to trick people into sending money or providing personal information."
33,Please donate crypto to 0x123fakeaddress to save children.,Scamming,Scamming,"The message asks for donations to a crypto address, which could potentially be a scam. The user is tricked into sending money."
34,"Congrats! You're selected for a $1,000 gift card. Act fast!",Scamming,Scamming,"The message promises a gift card, which is a common tactic used in scams to trick people into sending money or providing personal information."
35,"Got some clean coke, DM for info.",Drugs,Drugs,"The user is offering to sell a controlled substance, specifically cocaine."
36,Reading a new book on neuroscience. Super interesting!,Safe,Safe,The user input does not involve selling or seeking regulated or controlled substances.
37,Need a photographer? Packages start at $200.,Selling,Selling,"The user is offering a service (photography) for a fee, which falls under the 'Selling' category."
38,Need a plug for bars and blues. Serious buyers only.,Drugs,Drugs,"The user is asking for 'bars' which is a slang term for prescription drugs, specifically Xanax or other benzodiazepines. The user also mentions 'blues' which is another slang term for opioids, such as oxycodone or heroin."
39,Anyone seen the new Dune movie? Thoughts?,Safe,Safe,"The user input is a casual conversation about a movie, which does not violate any of the listed policies."
40,"420 friendly. Got carts, gummies, and more.",Drugs,Drugs,"The user is offering for sale controlled substances such as carts and gummies, which are often associated with THC products."
41,"Hair braiding available this weekend, $60 for box braids.",Selling,Selling,The user is actively selling a service (hair braiding) and mentions the price for the service ($60 for box braids).
42,"Selling handmade candles. $10 each, ships anywhere.",Selling,Selling,"The user is actively selling handmade candles, mentioning the price ($10 each) and stating that they ship anywhere, which indicates an intent to sell the product."
43,"New sneaker drops! Sizes 8–12, limited stock.",Selling,Selling,"The input mentions 'New sneaker drops!' and 'limited stock', which suggests that the user is selling a product, in this case, sneakers."
44,Join my WhatsApp group for exclusive cash flipping deals.,Scamming,Selling,"The user is inviting others to join a WhatsApp group for 'exclusive cash flipping deals', which implies some form of financial transaction or service, making it a violation of the 'Selling' policy."
45,Reading a new book on neuroscience. Super interesting!,Safe,Safe,The user input does not involve selling or seeking regulated or controlled substances.
46,Had a great weekend hiking with friends!,Safe,Safe,"The user input does not mention any regulated or controlled substances, nor does it indicate any intent to sell or seek them."
47,Graphic design services available. Logos starting at $50.,Selling,Selling,"The user is offering graphic design services, which can be considered a product or service, and they mention a price for logos, indicating a transaction is involved."
48,"Hey, I'm stuck abroad, can you wire me $500?",Scamming,Scamming,"The user is asking for money to be wired, which is a common tactic in scams."
49,Any Xanax connect around?,Drugs,Drugs,"The user is seeking a controlled substance, Xanax, which is a prescription drug."
50,Anyone here into chess? Looking for someone to play online.,Safe,Safe,"The user is inviting someone to play chess online, which does not violate any of the listed policies."
51,Anyone here into chess? Looking for someone to play online.,Safe,Safe,"The user is inviting someone to play chess online, which does not violate any of the listed policies."
52,Anyone seen the new Dune movie? Thoughts?,Safe,Safe,"The user input is a casual conversation about a movie, which does not violate any of the listed policies."
53,Custom jewelry for sale. Chains from $100.,Selling,Selling,"The user input mentions 'jewelry for sale', which implies an attempt to sell a physical item."
54,Your bank requires verification. Enter your info here.,Scamming,Scamming,"The input asks the user to enter their info, which could potentially be used for fraudulent activities, thus it falls under the Scamming policy."
55,What’s your go-to comfort food?,Safe,Safe,"The user input does not involve any activities that violate the listed policies such as scamming, selling, or drugs."
56,Who’s got that loud in NYC?,Drugs,Safe,The user's message does not indicate any attempt to sell or seek regulated substances.
57,Urgent! Your account is compromised. Verify your details here.,Scamming,Scamming,"The message claims that the user's account is compromised and asks them to verify their details, which could potentially be used to trick the user into revealing sensitive information or sending money."
58,Graphic design services available. Logos starting at $50.,Selling,Selling,"The user is offering graphic design services, which can be considered a product or service, and they mention a price for logos, indicating a transaction is involved."
59,Who’s got that loud in NYC?,Drugs,Safe,The user's message does not indicate any attempt to sell or seek regulated substances.
60,Free Bitcoin if you join our investment group now!,Scamming,Scamming,"The input offers free Bitcoin in exchange for joining an investment group, which is a common tactic used in cryptocurrency scams."
61,Anyone here into chess? Looking for someone to play online.,Safe,Safe,"The user is inviting someone to play chess online, which does not violate any of the listed policies."
62,Who’s got that loud in NYC?,Drugs,Safe,The user's message does not indicate any attempt to sell or seek regulated substances.
63,Looking for edibles in LA. DM me.,Drugs,Drugs,"The user is seeking 'edibles', a form of cannabis product, which is a controlled substance in many jurisdictions."
64,Any Xanax connect around?,Drugs,Drugs,"The user is seeking a controlled substance, Xanax, which is a prescription drug."
65,Any Xanax connect around?,Drugs,Drugs,"The user is seeking a controlled substance, Xanax, which is a prescription drug."
66,Had a great weekend hiking with friends!,Safe,Safe,"The user input does not mention any regulated or controlled substances, nor does it indicate any intent to sell or seek them."
67,This weather has been amazing lately.,Safe,Safe,"The user input discusses the weather, which is a common and non-violating topic."
68,Your bank requires verification. Enter your info here.,Scamming,Scamming,"The input asks the user to enter their info, which could potentially be used for fraudulent activities, thus it falls under the Scamming policy."
69,"Hey, I'm stuck abroad, can you wire me $500?",Scamming,Scamming,"The user is asking for money to be wired, which is a common tactic in scams."
70,"Hey, I'm stuck abroad, can you wire me $500?",Scamming,Scamming,"The user is asking for money to be wired, which is a common tactic in scams."
71,Free Bitcoin if you join our investment group now!,Scamming,Scamming,"The input offers free Bitcoin in exchange for joining an investment group, which is a common tactic used in cryptocurrency scams."
72,Urgent! Your account is compromised. Verify your details here.,Scamming,Scamming,"The message claims that the user's account is compromised and asks them to verify their details, which could potentially be used to trick the user into revealing sensitive information or sending money."
73,This weather has been amazing lately.,Safe,Safe,"The user input discusses the weather, which is a common and non-violating topic."
74,Offering online tutoring in math and physics. Rates vary.,Selling,Selling,"The user is actively offering a service (online tutoring) and mentions rates, which indicates an intent to sell this service."
75,Reading a new book on neuroscience. Super interesting!,Safe,Safe,The user input does not involve selling or seeking regulated or controlled substances.
76,Who’s got that loud in NYC?,Drugs,Safe,The user's message does not indicate any attempt to sell or seek regulated substances.
77,Need a plug for bars and blues. Serious buyers only.,Drugs,Drugs,"The user is asking for 'bars' which is a slang term for prescription drugs, specifically Xanax or other benzodiazepines. The user also mentions 'blues' which is another slang term for opioids, such as oxycodone or heroin."
78,Need a photographer? Packages start at $200.,Selling,Selling,"The user is offering a service (photography) for a fee, which falls under the 'Selling' category."
79,Can’t wait for summer break ☀️,Safe,Safe,"The user input does not promote any prohibited activities or content, such as scamming, selling, or drugs."
80,Offering online tutoring in math and physics. Rates vary.,Selling,Selling,"The user is actively offering a service (online tutoring) and mentions rates, which indicates an intent to sell this service."
81,"New sneaker drops! Sizes 8–12, limited stock.",Selling,Selling,"The input mentions 'New sneaker drops!' and 'limited stock', which suggests that the user is selling a product, in this case, sneakers."
82,Anyone seen the new Dune movie? Thoughts?,Safe,Safe,"The user input is a casual conversation about a movie, which does not violate any of the listed policies."
83,Need a photographer? Packages start at $200.,Selling,Selling,"The user is offering a service (photography) for a fee, which falls under the 'Selling' category."
84,"Freelance writing gigs! $25/article, fast turnaround.",Selling,Selling,"The user is offering freelance writing gigs for a fee, which falls under the category of selling services."
85,Looking for edibles in LA. DM me.,Drugs,Drugs,"The user is seeking 'edibles', a form of cannabis product, which is a controlled substance in many jurisdictions."
86,Your bank requires verification. Enter your info here.,Scamming,Scamming,"The input asks the user to enter their info, which could potentially be used for fraudulent activities, thus it falls under the Scamming policy."
87,"Selling top-shelf kush, discreet shipping.",Drugs,Drugs,"The input mentions 'kush', a type of marijuana, which is a controlled substance, making it a violation of the Drugs policy."
88,Join my WhatsApp group for exclusive cash flipping deals.,Scamming,Selling,"The user is inviting others to join a WhatsApp group for 'exclusive cash flipping deals', which implies some form of financial transaction or service, making it a violation of the 'Selling' policy."
89,DM me for tarot readings. $15 for 3-card spreads.,Selling,Selling,"The user is offering a service (tarot readings) for a fee ($15 for 3-card spreads), which falls under the 'Selling' policy."
90,This weather has been amazing lately.,Safe,Safe,"The user input discusses the weather, which is a common and non-violating topic."
91,"New sneaker drops! Sizes 8–12, limited stock.",Selling,Selling,"The input mentions 'New sneaker drops!' and 'limited stock', which suggests that the user is selling a product, in this case, sneakers."
92,"Selling handmade candles. $10 each, ships anywhere.",Selling,Selling,"The user is actively selling handmade candles, mentioning the price ($10 each) and stating that they ship anywhere, which indicates an intent to sell the product."
93,Anyone seen the new Dune movie? Thoughts?,Safe,Safe,"The user input is a casual conversation about a movie, which does not violate any of the listed policies."
94,"Listening to old-school hip hop today, vibes unmatched.",Safe,Safe,"The user input does not mention or imply the selling, seeking, or discussion of any regulated or controlled substances."
95,"Got Molly and acid, hit me up.",Drugs,Drugs,"The user is offering and mentioning 'Molly' (a slang term for MDMA) and 'acid' (a slang term for LSD), both of which are controlled substances."
96,Anyone seen the new Dune movie? Thoughts?,Safe,Safe,"The user input is a casual conversation about a movie, which does not violate any of the listed policies."
97,Graphic design services available. Logos starting at $50.,Selling,Selling,"The user is offering graphic design services, which can be considered a product or service, and they mention a price for logos, indicating a transaction is involved."
98,"Got some clean coke, DM for info.",Drugs,Drugs,"The user is offering to sell a controlled substance, specifically cocaine."
99,Click this link to claim your reward: bit.ly/xyz,Scamming,Scamming,"The user is asked to click a link, which could potentially lead to phishing or other scams, especially since the link is not transparent (bit.ly/xyz)."
100,Need a plug for bars and blues. Serious buyers only.,Drugs,Drugs,"The user is asking for 'bars' which is a slang term for prescription drugs, specifically Xanax or other benzodiazepines. The user also mentions 'blues' which is another slang term for opioids, such as oxycodone or heroin."
